Date,Location,Minimum Feeling Temperature(¡ÆC),maximum temperature(¡ÆC),average temperature(¡ÆC),lowest temperature(¡ÆC),Average Relative Humidity(%),average wind speed(m/s),maximum wind speed(m/s),Cold wave warning(O/X)
2023-01-01,919,-2.4,8.6,-0.1,-8.4,59,1.1,5.4,X
2023-01-01,920,-11.3,8.6,-1.4,-10.1,70,0.8,3,X
2023-01-01,93,-9.3,4.6,-3.2,-9,59.5,1.3,5.3,O
2023-01-01,932,-7.1,10.2,2,-5,61,1.2,4.2,X
2023-01-01,95,-5.6,1.9,-4,-11.5,60.3,1.1,3.2,O
2023-01-01,98,-8,3.8,-2.6,-6.5,55.5,1.2,5.3,O
2023-01-01,99,-8.5,2.5,-4.3,-10.7,64.1,0.9,4.5,O
2023-01-02,104,-7.8,4.7,-0.5,-4.4,27,1.4,2.9,X
2023-01-02,106,-3.7,5.1,2,-1.9,23.6,1.6,4.7,X
2023-01-02,108,-11.9,-0.4,-4.5,-7.4,45.9,2.5,4.4,X
2023-01-02,112,-12,-1.8,-4.6,-6.7,45.3,2.9,4.4,X
2023-01-02,114,-6.9,0,-4.6,-8.7,48.6,0.9,2.2,O
2023-01-02,115,-1.9,4.4,2.4,1.3,57.8,2.5,5.7,X
2023-01-02,119,-11.3,-1.7,-5.6,-9.1,54.9,2,4.2,X
2023-01-02,121,-6.8,0.6,-5.2,-10.5,51.6,0.8,2.5,O
2023-01-02,127,-13,0,-6.4,-11.5,53,0.8,2.6,O
2023-01-02,129,-10.5,-0.2,-4.1,-8,61.5,1.8,5.4,X
2023-01-02,130,-6.9,5.9,0.6,-2.7,27.6,2.6,5.3,X
2023-01-02,131,-7.9,0.7,-2.9,-5.3,40.9,1.3,3.3,X
2023-01-02,133,-10.1,2.4,-3,-6.5,40.6,1.9,4,X
2023-01-02,135,-13.2,0.8,-3.2,-6,38,5.2,7.9,X
2023-01-02,136,-9.8,3,-2.7,-6.3,35.3,2.5,4.4,O
2023-01-02,137,-10.6,2.1,-2.3,-5.5,36.9,3,4.9,X
2023-01-02,138,-6.2,6.2,1.6,-1.1,24.1,3.1,6.2,X
2023-01-02,140,-7,2.4,-2.4,-5.8,57.1,1.9,6.4,X
2023-01-02,143,-7.4,4.2,0.4,-1.9,40.1,3.6,6.3,X
2023-01-02,146,-6.3,2,-1.8,-4,53.1,1.5,3.4,X
2023-01-02,152,-5.7,5.5,1.4,-1.3,19.1,2.6,4.8,X
2023-01-02,155,-3.1,4.6,1.3,-0.9,21.1,1.7,5.2,X
2023-01-02,156,-5.6,3.2,-0.2,-2.5,47.4,1.8,2.8,X
2023-01-02,159,-3.7,7.8,3.1,0.5,19.5,2.6,6.7,X
2023-01-02,162,-4,8.6,2.9,-0.4,28.5,2.6,5.9,X
2023-01-02,165,-6.2,2.3,0.7,-1.3,60.4,6,11.2,X
2023-01-02,168,-8.3,4.9,1.7,-1,27.3,8.1,11.8,X
2023-01-02,169,-3.8,5,3.6,2.8,62.5,10.3,12.7,X
2023-01-02,170,-2.5,5,2.2,0.6,52,2.4,4.7,X
